City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Betong,5.7743,101.0723,71.89,99.0,100,1.66,TH,1650922287
Toktogul,41.8708,72.9402,54.79,69.0,71,1.83,KG,1650922288
Barabinsk,55.3571,78.357,39.47,59.0,86,7.72,RU,1650922288
Rio Grande,-32.035,-52.0986,66.31,94.0,100,10.89,BR,1650922289
Flin Flon,54.7682,-101.865,30.04,27.0,0,6.91,CA,1650922289
Skjervøy,70.0311,20.9714,28.4,59.0,100,23.78,NO,1650922290
Dalby,-27.1833,151.2667,59.99,92.0,100,1.99,AU,1650922290
Algarrobo,10.1869,-74.5753,82.67,71.0,100,5.37,CO,1650922290
Āsind,25.7333,74.3333,82.47,25.0,0,11.07,IN,1650922291
Oro Valley,32.3909,-110.9665,91.02,6.0,1,7.0,US,1650922183
Along,28.1667,94.7667,61.84,86.0,93,2.24,IN,1650922291
Alice Springs,-23.7,133.8833,51.35,100.0,85,0.0,AU,1650922292
Pimentel,-6.8367,-79.9342,73.69,64.0,0,18.41,PE,1650922292
Fukuechō,32.6881,128.8419,71.06,90.0,100,25.21,JP,1650922292
Neuquén,-38.9516,-68.0591,64.29,32.0,40,8.05,AR,1650922293
Iqaluit,63.7506,-68.5145,2.93,71.0,40,20.71,CA,1650922294
Băiţa,46.0333,22.9,47.26,93.0,14,1.23,RO,1650922294
Puerto Maldonado,-12.6,-69.1833,82.8,74.0,20,8.05,PE,1650922294
Toamasina,-18.1667,49.3833,73.69,88.0,66,5.68,MG,1650922295
Guerrero Negro,27.9769,-114.0611,81.61,21.0,0,12.59,MX,1650922295
Watsa,3.0372,29.5355,62.8,96.0,98,1.81,CD,1650922295
Myingyan,21.4667,95.3833,88.39,47.0,0,1.86,MM,1650922296
São Gabriel da Cachoeira,-0.1303,-67.0892,78.22,91.0,70,1.61,BR,1650922296
São João da Barra,-21.6403,-41.0511,77.09,80.0,2,5.99,BR,1650922297
Marsabit,2.3284,37.9899,71.65,59.0,100,8.32,KE,1650922297
Bara,10.3744,10.7288,90.45,40.0,84,11.56,NG,1650922297
Kayes,14.0,-11.0,94.77,13.0,0,8.25,ML,1650922298
Veendam,53.1067,6.8792,47.98,80.0,67,8.75,NL,1650922298
Bolong,7.0983,122.2392,78.8,85.0,100,1.43,PH,1650922299
Bilma,18.6853,12.9164,91.94,10.0,0,5.55,NE,1650922299
Yarkovo,57.4028,67.0786,41.27,96.0,69,6.89,RU,1650922300
Xingyi,24.1877,102.817,56.97,55.0,0,2.98,CN,1650922300
Pilar,-9.5972,-35.9567,76.93,85.0,22,3.02,BR,1650922301
Ko Samui,9.5357,99.9357,84.61,73.0,84,8.14,TH,1650922225
Birao,10.2849,22.7882,86.36,42.0,100,5.28,CF,1650922301
Kiama,-34.6833,150.8667,61.38,95.0,100,1.01,AU,1650922216
Fort Nelson,58.8053,-122.7002,42.39,75.0,75,0.0,CA,1650922302
Epiniana,39.1429,21.6134,42.51,65.0,85,2.35,GR,1650922302
Nong’an,44.382,125.1685,52.47,52.0,92,13.94,CN,1650922303
Telde,27.9924,-15.4192,68.22,64.0,40,6.91,ES,1650922303
Colac,-38.3333,143.5833,59.83,85.0,91,4.76,AU,1650922304
Khani,41.9563,42.9566,53.17,61.0,0,6.8,GE,1650922305
Bossangoa,6.4926,17.4552,75.94,70.0,72,3.11,CF,1650922305
Deloraine,-41.5333,146.6667,49.35,15.0,99,1.32,AU,1650922306
La Rioja,42.25,-2.5,46.18,80.0,44,5.93,ES,1650922306
Magomeni,-6.8,39.25,75.47,94.0,27,5.19,TZ,1650922306
Palmer,42.1584,-72.3287,66.81,25.0,100,8.48,US,1650922307
Murdochville,48.9583,-65.5006,32.88,93.0,100,6.33,CA,1650922308
Guarapari,-20.6667,-40.4975,77.9,84.0,32,4.43,BR,1650922308
Mossamedes,-15.1961,12.1522,71.2,77.0,2,5.06,AO,1650922179
Golpāyegān,33.4537,50.2884,55.11,69.0,100,6.29,IR,1650922309
Marystown,47.1666,-55.1483,46.85,100.0,65,11.99,CA,1650922309
Baoning,25.3378,110.026,75.06,94.0,100,2.24,CN,1650922310
Tegul'det,57.3064,88.1667,29.8,90.0,77,7.2,RU,1650922310
Arlit,18.7369,7.3853,84.61,7.0,0,10.83,NE,1650922311
Barra Patuca,15.8,-84.2833,81.93,74.0,16,10.11,HN,1650922311
San Cristobal,7.7669,-72.225,71.78,70.0,68,1.66,VE,1650922312
Wilson,36.1501,-86.2833,74.52,84.0,100,4.61,US,1650922171
Buchanan,5.8808,-10.0467,80.15,85.0,100,8.66,LR,1650922312
Camaná,-16.6228,-72.7111,69.01,82.0,94,6.93,PE,1650922313
Padang,-0.9492,100.3543,77.27,89.0,100,5.14,ID,1650922313
Valparaíso,-33.0393,-71.6273,61.03,87.0,100,8.05,CL,1650922308
Coos Bay,43.3665,-124.2179,59.99,88.0,100,8.05,US,1650922314
Avallon,47.4833,3.9,49.82,88.0,100,2.57,FR,1650922314
Ozernovskiy,51.5,156.5167,31.78,95.0,100,15.64,RU,1650922315
Saint Anthony,45.0205,-93.218,37.92,67.0,100,16.11,US,1650922315
Rock Sound,24.9,-76.2,75.65,69.0,18,15.95,BS,1650922316
Tuyen Quang,21.8233,105.2181,77.97,88.0,76,1.39,VN,1650922316
Port-Gentil,-0.7193,8.7815,80.56,94.0,20,1.14,GA,1650922317
Westerland,54.9079,8.3033,44.62,87.0,6,11.5,DE,1650922317
Conceição do Mato Dentro,-19.0372,-43.425,68.38,82.0,81,3.22,BR,1650922318
Airai,-8.9266,125.4092,57.63,71.0,57,1.61,TL,1650922318
Bhag,29.0415,67.8239,90.45,10.0,3,4.5,PK,1650922319
Sandwick,60.0,-1.25,42.62,70.0,100,12.66,GB,1650922320
Sandviken,60.6167,16.7667,44.56,51.0,24,5.66,SE,1650922320
Koran,43.8103,18.5689,47.71,61.0,0,1.14,BA,1650922320
Abu Samrah,35.3029,37.1841,69.13,44.0,6,4.27,SY,1650922021
Mujiayingzi,42.1167,118.7833,47.84,22.0,18,12.3,CN,1650922321
San Andrés,12.5847,-81.7006,86.02,74.0,20,10.36,CO,1650922322
Santa Cruz de la Sierra,-17.8,-63.1667,86.05,66.0,40,16.11,BO,1650922190
Saint-Joseph,-21.3667,55.6167,73.78,77.0,59,14.12,RE,1650922323
Beringovskiy,63.05,179.3167,29.71,97.0,100,23.87,RU,1650922323
Charters Towers,-20.1,146.2667,69.21,96.0,100,14.56,AU,1650922324
Husavik,66.0449,-17.3389,41.95,78.0,73,1.14,IS,1650922324
Ubari,26.5921,12.7805,79.63,11.0,98,13.13,LY,1650922324
Lauria,40.0465,15.8358,49.28,79.0,4,1.54,IT,1650922325
Arroyo de la Encomienda,41.6096,-4.7969,62.19,64.0,0,6.91,ES,1650922325
Yurino,56.2942,46.3039,51.28,85.0,99,9.46,RU,1650922326
Longaví,-35.9667,-71.6833,54.19,94.0,100,6.06,CL,1650922326
Katobu,-4.9408,122.5276,74.44,93.0,13,1.34,ID,1650922020
Salinópolis,-0.6136,-47.3561,78.69,88.0,100,10.89,BR,1650922147
Livermore,37.6819,-121.768,81.64,32.0,0,11.5,US,1650922110
Clyde River,70.4692,-68.5914,8.83,92.0,100,23.02,CA,1650921999
Oodweyne,9.4092,45.064,70.57,66.0,100,8.03,SO,1650922327
Capreol,46.706,-80.9225,50.56,66.0,100,14.97,CA,1650922327
Puerto Quijarro,-17.7833,-57.7667,92.21,35.0,97,7.07,BO,1650922327
Níjar,36.9665,-2.206,57.65,82.0,0,3.44,ES,1650922328
Mouila,-1.8685,11.0559,75.79,90.0,100,0.09,GA,1650922329
Mil'kovo,54.7167,158.6167,31.64,92.0,100,4.52,RU,1650922218
Shatki,55.1887,44.1249,52.16,88.0,100,8.79,RU,1650922330
Chunhuhub,19.55,-88.6833,87.87,46.0,80,6.33,MX,1650922330
Comodoro Rivadavia,-45.8667,-67.5,57.06,41.0,0,8.05,AR,1650922331
Ocampo,21.65,-101.5,82.13,10.0,21,4.03,MX,1650922326
Umm Kaddadah,13.6017,26.6876,81.81,16.0,100,1.39,SD,1650922331
Aksarka,66.5606,67.7975,17.26,97.0,78,6.58,RU,1650922332
Vao,-22.6667,167.4833,74.82,54.0,100,20.18,NC,1650922332
Fare,-16.7,-151.0167,81.48,72.0,9,10.71,PF,1650922333
Arrondissement de Poitiers,46.5833,0.3333,52.21,69.0,34,2.3,FR,1650922333
Atlantic Beach,30.3344,-81.3987,84.02,62.0,20,13.8,US,1650922333
Wajima,37.4,136.9,61.65,74.0,100,6.04,JP,1650922228
Olinda,-8.0089,-34.8553,80.33,89.0,75,5.75,BR,1650922334
Dongsheng,39.8161,109.9776,38.62,16.0,19,18.97,CN,1650922334
Vila Velha,-20.3297,-40.2925,80.55,81.0,75,11.5,BR,1650922335
Brae,60.3964,-1.353,43.27,71.0,85,15.39,GB,1650922335
Saint-Honoré,48.5334,-71.0824,44.29,72.0,100,9.22,CA,1650922333
Kerrobert,51.9168,-109.1348,59.05,40.0,7,20.11,CA,1650922336
Şile,41.1754,29.6133,63.27,67.0,14,1.01,TR,1650922336
Les Cayes,18.2,-73.75,79.57,70.0,80,5.84,HT,1650922337
Byron Bay,-28.65,153.6167,60.69,71.0,100,5.77,AU,1650922338
Sobolevo,54.4299,31.8996,45.01,94.0,94,2.95,RU,1650922338
Ayan,56.45,138.1667,29.95,79.0,9,4.61,RU,1650922339
Yulara,-25.2406,130.9889,57.04,88.0,97,5.75,AU,1650922339
Villa Vicente Guerrero,19.1194,-98.1708,78.19,29.0,50,6.02,MX,1650922340
Port Lincoln,-34.7333,135.8667,64.81,79.0,100,13.6,AU,1650922241
Kosh-Agach,50.0,88.6667,31.1,54.0,100,2.19,RU,1650922341
Evensk,61.95,159.2333,29.32,75.0,100,20.36,RU,1650922341
Altamira,-3.2033,-52.2064,86.09,70.0,20,2.3,BR,1650922342
Luena,-11.7833,19.9167,67.62,70.0,100,4.14,AO,1650922343
Nanning,22.8167,108.3167,73.85,89.0,2,10.38,CN,1650922102
Yakeshi,49.2833,120.7333,29.66,82.0,100,20.6,CN,1650922343
Taman',45.2117,36.7161,56.03,79.0,88,4.61,RU,1650922344
Broome,42.2506,-75.833,72.37,52.0,0,18.41,US,1650922344
Nakatsu,33.5981,131.1883,73.18,82.0,100,11.07,JP,1650922345
Bowen,-20.0167,148.2333,75.34,86.0,100,20.89,AU,1650922345
Agirish,61.9247,63.0231,33.28,97.0,100,3.65,RU,1650922346
Radeče,46.0681,15.1839,54.12,72.0,35,3.6,SI,1650922346
Narsaq,60.9167,-46.05,44.82,79.0,93,0.81,GL,1650921890
Mehamn,71.0357,27.8492,30.11,69.0,75,29.93,NO,1650922347
Brezno,48.8043,19.6363,48.29,95.0,84,3.02,SK,1650922347
Dunedin,-45.8742,170.5036,52.81,57.0,33,15.01,NZ,1650922243
Båtsfjord,70.6345,29.7185,30.13,80.0,20,18.41,NO,1650922347
Beihai,21.4833,109.1,76.96,92.0,3,3.8,CN,1650922348
Örnsköldsvik,63.2909,18.7153,40.15,70.0,48,11.5,SE,1650922349
Diamantino,-14.4086,-56.4461,81.79,61.0,30,4.05,BR,1650922350
Beloha,-25.1667,45.05,75.22,75.0,100,4.83,MG,1650922021
Baker City,44.7749,-117.8344,64.58,28.0,40,14.97,US,1650922350
Kitob,39.0843,66.8332,66.72,44.0,100,2.8,UZ,1650922351
Lakes Entrance,-37.8811,147.981,48.16,85.0,26,2.89,AU,1650922352
Chala,-7.5833,31.2667,58.48,98.0,98,3.38,TZ,1650922352
Salalah,17.0151,54.0924,82.49,69.0,0,3.44,OM,1650922353
Pedregal,8.3667,-82.4333,82.49,78.0,40,5.75,PA,1650922353
Henties Bay,-22.116,14.2845,62.1,71.0,0,6.85,NA,1650922354
Zhigansk,66.7697,123.3711,9.61,94.0,94,2.91,RU,1650922355
Kalemie,-5.9475,29.1947,70.43,88.0,82,2.21,CD,1650922355
Luebo,-5.35,21.4167,70.61,98.0,95,0.85,CD,1650922355
Zhaotong,27.3167,103.7167,53.06,88.0,100,7.36,CN,1650922356
Kiunga,-6.1219,141.2906,74.86,99.0,100,1.16,PG,1650922356
Forbes,-33.3833,148.0167,62.92,71.0,100,6.73,AU,1650922357
Riyadh,24.6877,46.7219,71.74,46.0,100,13.09,SA,1650922302
Luxor,25.6989,32.6421,78.85,17.0,0,2.3,EG,1650922358
Bandarbeyla,9.4942,50.8122,81.5,73.0,99,5.73,SO,1650922016
Nyurba,63.2842,118.3319,23.22,94.0,100,1.92,RU,1650922358
Guaporé,-28.8456,-51.8903,77.7,90.0,86,3.42,BR,1650922359
Aleksandrovskiy Zavod,50.9237,117.9374,30.92,71.0,100,10.11,RU,1650922359
Kumul,42.8,93.45,61.16,24.0,99,12.1,CN,1650922360
Lukovetskiy,64.2956,41.9211,34.83,99.0,100,5.3,RU,1650922360
Warrnambool,-38.3833,142.4833,57.81,76.0,92,10.4,AU,1650922361
Kilindoni,-7.9139,39.6668,81.54,79.0,48,9.89,TZ,1650922361
Zelenets,61.8849,50.7489,39.45,93.0,93,5.14,RU,1650922361
Lakhīmpur,27.95,80.7667,80.8,17.0,0,5.73,IN,1650922362
Chambishi,-12.6325,28.0537,59.61,92.0,49,3.47,ZM,1650922256
Batagay-Alyta,67.8006,130.4114,9.77,93.0,100,2.1,RU,1650922363
Khuzhir,53.1939,107.3397,23.07,83.0,5,5.75,RU,1650922363
Taku,39.0211,117.6469,62.56,83.0,15,10.74,CN,1650922363
Kuito,-12.3833,16.9333,63.36,62.0,69,1.9,AO,1650922364
Aginskoye,51.1,114.53,32.18,46.0,100,19.3,RU,1650922365
Noyabrsk,63.1994,75.4507,13.17,97.0,54,3.13,RU,1650922365
Bontang,0.1333,117.5,75.99,93.0,100,6.67,ID,1650922365
Chino Valley,34.7575,-112.4538,78.42,8.0,0,8.05,US,1650922366
Ust-Tsilma,65.441,52.1498,31.75,90.0,100,3.18,RU,1650922366
Port Blair,11.6667,92.75,80.64,89.0,20,0.0,IN,1650922216
Westlock,54.1502,-113.8688,59.11,43.0,100,19.93,CA,1650922367
Misratah,32.3754,15.0925,63.97,72.0,95,9.82,LY,1650922367
Boyabat,41.4689,34.7667,63.39,56.0,71,5.93,TR,1650922368
Carlyle,38.6103,-89.3726,62.38,57.0,100,5.99,US,1650922368
Quatre Cocos,-20.2078,57.7625,73.51,74.0,46,16.04,MU,1650922367
Goderich,43.7501,-81.7165,52.12,87.0,100,5.75,CA,1650922369
Ratnagiri,16.9833,73.3,82.31,78.0,46,4.21,IN,1650922370
Ames,42.0347,-93.6199,41.45,59.0,100,19.57,US,1650922370
Muros,42.7762,-9.0603,53.83,82.0,92,7.25,ES,1650922371
Trincomalee,8.5711,81.2335,81.99,78.0,81,6.89,LK,1650922372
Duluth,46.7833,-92.1066,35.08,69.0,100,14.97,US,1650922219
Bereda,43.2686,-7.5406,54.57,91.0,43,1.01,ES,1650922372
Trairi,-3.2778,-39.2689,77.68,87.0,18,7.47,BR,1650922244
Krasnoarmeysk,51.0239,45.6969,55.94,70.0,90,10.2,RU,1650922372
Green Valley,31.8543,-110.9937,91.35,8.0,9,2.35,US,1650922263
Bizhbulyak,53.6967,54.2642,49.12,92.0,76,7.05,RU,1650922373
Vilcún,-38.65,-72.2333,50.74,68.0,100,13.82,CL,1650922211
Gijang,35.2442,129.2139,64.13,99.0,100,10.22,KR,1650922373
Bembèrèkè,10.2283,2.6634,84.06,39.0,51,5.7,BJ,1650922374
Gorontalo,0.5412,123.0595,74.98,94.0,89,2.17,ID,1650922375
Marawi,7.9986,124.2928,70.34,91.0,100,2.35,PH,1650922297
Rabo de Peixe,37.8,-25.5833,61.29,65.0,20,6.91,PT,1650922375
Fairbanks,64.8378,-147.7164,48.16,43.0,75,3.44,US,1650922312
Tomatlán,19.9333,-105.25,87.66,40.0,1,9.75,MX,1650922376
Jinchang,38.4953,102.1739,53.1,29.0,2,4.81,CN,1650922377
Labuhan,-6.8844,112.2051,78.67,85.0,97,3.47,ID,1650922182
Vestmanna,62.1564,-7.1664,34.72,80.0,72,11.5,FO,1650922377
Tuzha,57.6062,47.936,47.88,93.0,90,9.55,RU,1650922378
Nhulunbuy,-12.2333,136.7667,75.81,94.0,31,0.0,AU,1650922378
Prince Albert,53.2001,-105.7677,35.55,51.0,0,14.97,CA,1650922207
Bajos de Haina,18.4154,-70.0332,82.33,73.0,75,5.75,DO,1650922379
Taoudenni,22.6783,-3.9836,79.93,17.0,0,9.73,ML,1650922380
